,pt_no,coordinate
184,pt_no184,"[[-18.39930545255511], [-11.13330990672597], [59.69313227943971]]"
185,pt_no185,"[[51.68918938753573], [10.65914717391739], [-79.40373842445183]]"
186,pt_no186,"[[30.20242665302114], [13.08937913137798], [-88.06085601795867]]"
187,pt_no187,"[[51.68918938753573], [10.15740849433637], [-28.29189513594605]]"
188,pt_no188,"[[51.68918938753573], [17.97840981006635], [-40.87145362808116]]"
189,pt_no189,"[[51.68918938753573], [3.099784829541449], [-40.93000705130009]]"
190,pt_no190,"[[-75.20071844764108], [25.50757251124386], [-123.5]]"
191,pt_no191,"[[-88.31081061246428], [37.14451716674105], [-112.6889505770392]]"
192,pt_no192,"[[-88.31081061246428], [25.16221775475213], [-111.3618686945281]]"
193,pt_no193,"[[-71.15022073579158], [31.231148262427], [-107.2518683354892]]"
194,pt_no194,"[[42.51220885336529], [-4.493243403085124], [113.5]]"
195,pt_no195,"[[29.71589258526802], [-4.042561684252981], [113.5]]"
196,pt_no196,"[[38.69880833076914], [10.50675659691488], [113.5]]"
197,pt_no197,"[[34.52561106893367], [-2.563418857301575], [94.88658358665045]]"
198,pt_no198,"[[7.314714376311229], [-2.373771621949035], [74.25961316343432]]"
199,pt_no199,"[[18.54593782459252], [9.25769308964958], [74.2629210968348]]"
200,pt_no200,"[[23.34168540712436], [-6.601952040542604], [81.13931361692634]]"
201,pt_no201,"[[20.04598107012861], [-5.486101149092054], [66.095400284152]]"
202,pt_no202,"[[-75.48280931890733], [-41.9932434030851], [-86.46875000000009]]"
203,pt_no203,"[[-68.29051369401459], [-41.99324340308511], [-78.88943973583378]]"
204,pt_no204,"[[-75.91356913306466], [-30.14782442468565], [-78.12958865420171]]"
205,pt_no205,"[[-26.03173475463043], [-5.175405370931827], [26.59999999999999]]"
206,pt_no206,"[[-32.2418806423187], [-5.835484530567285], [26.59999999999999]]"
207,pt_no207,"[[-27.38030662961653], [-11.80497120057096], [26.59999999999999]]"
208,pt_no208,"[[-26.68173654301534], [-2.545516529462724], [34.0327443798455]]"
209,pt_no209,"[[-3.322826672576157], [-25.81153695379413], [-15.79999999999994]]"
210,pt_no210,"[[-10.73189096701504], [-25.24938562916748], [-35.79999999999996]]"
211,pt_no211,"[[-1.725066265846753], [-14.31255363553704], [-35.79999999999997]]"
212,pt_no212,"[[0.9767667569927205], [-26.50852140211842], [-35.79999999999997]]"
213,pt_no213,"[[-88.31081061246428], [35.89006495075789], [16.20221260079654]]"
214,pt_no214,"[[-88.31081061246428], [27.22050652069413], [8.909044849198722]]"
215,pt_no215,"[[-88.31081061246428], [36.19682173163139], [2.134068613026969]]"
216,pt_no216,"[[-71.1018828042356], [31.00929604643641], [5.8418712962374]]"
217,pt_no217,"[[-29.27370892589131], [26.64658574157103], [47.84454257382965]]"
218,pt_no218,"[[-21.15903874475322], [18.84091956372115], [46.16121526225358]]"
219,pt_no219,"[[-26.00582820212068], [24.89144612090718], [58.78357979993293]]"
220,pt_no220,"[[23.9717814245037], [23.32733710541238], [63.51077219922185]]"
221,pt_no221,"[[35.2845378669175], [30.93346674517241], [52.1516535946382]]"
222,pt_no222,"[[36.08899245825664], [16.24147035622646], [56.97438610709661]]"
223,pt_no223,"[[-14.7069351408547], [9.742291553385312], [4.999999999999995]]"
224,pt_no224,"[[-18.3739440833764], [8.283362406043722], [0.6977511179680658]]"
225,pt_no225,"[[-16.95142291458406], [9.768665514358919], [4.81267834491634]]"
