,pt_no,coordinate
265,pt_no265,"[[-72.1913421009382], [9.424090599282586], [82.74955299753509]]"
266,pt_no266,"[[-72.126503606806], [9.206615840577832], [98.79626737110064]]"
267,pt_no267,"[[-53.31081061246439], [25.50675659691476], [-5.0]]"
268,pt_no268,"[[-70.8013607146561], [30.5672114468272], [-0.2957128476441815]]"
269,pt_no269,"[[-26.52778227423357], [17.90361608922649], [26.59999999999999]]"
270,pt_no270,"[[-19.7342046611152], [19.54217707269717], [26.59999999999999]]"
271,pt_no271,"[[-26.46476259056577], [23.41162332137461], [26.59999999999999]]"
272,pt_no272,"[[-28.86217229405756], [20.68468907078742], [34.3270223376789]]"
273,pt_no273,"[[-73.67465305327923], [-41.9932434030851], [42.3302019725062]]"
274,pt_no274,"[[-65.76498169411417], [-41.99324340308511], [31.96696867487763]]"
275,pt_no275,"[[-76.41065764961809], [-41.9932434030851], [27.64170251783112]]"
276,pt_no276,"[[51.68918938753573], [34.16204079017211], [10.76863679378688]]"
277,pt_no277,"[[51.68918938753573], [20.25609949473855], [18.53494486936658]]"
278,pt_no278,"[[51.68918938753573], [33.96062181866264], [26.55290454926538]]"
279,pt_no279,"[[33.54590013701818], [30.73274764503567], [15.59278364615012]]"
280,pt_no280,"[[29.18918938753571], [48.00675659691488], [100.5096189432334]]"
281,pt_no281,"[[29.95826101044672], [35.59159189518249], [113.5]]"
282,pt_no282,"[[21.68918938753569], [48.00675659691488], [113.5]]"
283,pt_no283,"[[20.42392074493758], [33.99441149316365], [97.38472738689875]]"
284,pt_no284,"[[-44.64193314262955], [3.148969687420275], [-79.66124130541775]]"
285,pt_no285,"[[-55.11842210430543], [-10.48124547282984], [-79.82330874492622]]"
286,pt_no286,"[[-66.92488595149], [2.700975414643245], [-76.97579669761565]]"
287,pt_no287,"[[-34.17505727706403], [-41.99324340308512], [-92.9367320284084]]"
288,pt_no288,"[[-34.31059601616881], [-41.99324340308512], [-109.121382264079]]"
289,pt_no289,"[[-28.49347776563465], [-27.52632406062134], [-95.67435500565419]]"
290,pt_no290,"[[-3.322826672576348], [-25.81153695379415], [-15.79999999999994]]"
291,pt_no291,"[[-1.72506626584676], [-14.3125536355371], [-35.79999999999997]]"
292,pt_no292,"[[0.9767667569927134], [-26.50852140211843], [-35.79999999999997]]"
293,pt_no293,"[[-53.31081061246439], [-11.99324340308516], [5.799999999999997]]"
294,pt_no294,"[[-53.31081061246439], [3.00675659691484], [5.799999999999997]]"
295,pt_no295,"[[-53.31081061246439], [3.006756596914656], [4.999999999999998]]"
296,pt_no296,"[[-53.31081061246439], [-11.99324340308542], [4.999999999999998]]"
297,pt_no297,"[[-88.31081061246428], [38.8198113382919], [10.80000000000001]]"
298,pt_no298,"[[-88.31081061246428], [34.64049822791848], [26.65450555042054]]"
299,pt_no299,"[[-88.31081061246428], [26.34434605623818], [11.24713984836282]]"
300,pt_no300,"[[-53.31081061246439], [-11.9932434030853], [-35.79999999999998]]"
301,pt_no301,"[[-53.31081061246439], [-19.49324340308534], [-25.79999999999998]]"
302,pt_no302,"[[-53.31081061246439], [-4.493243403085273], [-25.79999999999998]]"
303,pt_no303,"[[-34.72095340459414], [0.3684051548296097], [26.59999999999999]]"
304,pt_no304,"[[-40.08349009384869], [4.851409290151253], [26.59999999999999]]"
305,pt_no305,"[[-41.75383706195099], [-5.309629818877021], [26.59999999999999]]"
306,pt_no306,"[[-36.11366308328132], [7.469576506165818], [34.49432379562383]]"
