,no,cv_no,region,temp_I,integ_I
144,cv_no144,"[254, 342, 312]",34,0.44,7.631
145,cv_no145,"[251, 358, 264]",34,0.171,6.634999999999999
146,cv_no146,"[29, 238, 28]",34,0.201,3.285
147,cv_no147,"[231, 393, 223]",34,0.058,2.6659999999999995
148,cv_no148,"[326, 400, 275]",34,0.031,1.0230000000000004
149,cv_no149,"[183, 382, 24]",34,0.26,4.547999999999999
150,cv_no150,"[184, 377, 185]",34,0.251,4.182
151,cv_no151,"[169, 378, 170]",34,0.164,5.005
152,cv_no152,"[252, 404, 264]",34,0.001,3.5839999999999987
153,cv_no153,"[189, 371, 190]",34,0.271,4.135999999999999
154,cv_no154,"[224, 390, 322]",34,0.219,4.29
155,cv_no155,"[231, 294, 261]",34,0.088,3.6549999999999994
156,cv_no156,"[174, 376, 175]",34,0.231,5.777000000000001
157,cv_no157,"[177, 381, 178]",34,0.242,5.0760000000000005
158,cv_no158,"[193, 385, 194]",34,0.004,0.461
159,cv_no159,"[172, 380, 173]",34,0.214,5.764000000000001
160,cv_no160,"[303, 361, 280]",34,0.2,4.752
161,cv_no161,"[153, 358, 339]",34,0.31,9.056
162,cv_no162,"[197, 388, 198]",34,0.394,6.195
163,cv_no163,"[373, 401, 233]",34,0.348,5.574999999999999
164,cv_no164,"[187, 375, 188]",34,0.262,4.089
165,cv_no165,"[270, 365, 353]",34,0.151,3.017
166,cv_no166,"[318, 400, 235]",34,0.004,0.5950000000000001
167,cv_no167,"[245, 334, 310]",34,0.099,6.061000000000001
168,cv_no168,"[240, 322, 226]",34,0.396,7.812
169,cv_no169,"[156, 338, 309]",34,0.3,9.074000000000002
170,cv_no170,"[31, 397, 372]",34,0.0,0.001
171,cv_no171,"[134, 331, 301]",34,1.159,19.240999999999996
172,cv_no172,"[324, 348, 126]",34,0.424,6.879
173,cv_no173,"[309, 346, 157]",34,0.29,9.119
174,cv_no174,"[232, 321, 287]",34,0.006,0.9420000000000002
175,cv_no175,"[310, 334, 159]",34,0.107,7.225999999999999
176,cv_no176,"[307, 369, 166]",34,0.832,16.234
177,cv_no177,"[186, 374, 187]",34,0.266,4.2
