,0
2028,3422
2029,4156
2030,3929
2031,4135
2032,1870
2033,2345
2034,2609
2035,4370
2036,3393
2037,2619
2038,1427
2039,26
2040,3737
2041,3900
2042,3452
2043,220
2044,3088
2045,4026
2046,1239
2047,4279
2048,4691
2049,4553
2050,1505
2051,4680
2052,3466
2053,1039
2054,1798
2055,1561
2056,547
2057,4323
2058,3421
2059,131
2060,4469
2061,1863
2062,1725
2063,1570
2064,2876
2065,2607
2066,4319
2067,1739
2068,1871
2069,2628
2070,1235
2071,545
2072,2294
2073,2249
2074,5051
2075,2250
2076,2882
2077,164
2078,2768
2079,412
2080,3957
2081,2874
2082,1873
2083,4363
2084,3074
2085,2130
2086,2712
2087,2780
2088,4629
2089,2883
2090,2277
2091,4480
2092,2918
2093,1913
2094,2841
2095,4128
2096,3783
2097,274
2098,2026
2099,2903
2100,4160
2101,3280
2102,3061
2103,1259
2104,2452
2105,3949
2106,4997
2107,1187
2108,4395
2109,1582
2110,4312
2111,2917
2112,1907
2113,2451
2114,712
2115,1448
2116,34
2117,2692
2118,294
2119,1075
2120,3807
2121,1452
2122,2164
2123,4052
2124,459
2125,3896
2126,1936
2127,4078
2128,2286
2129,955
2130,277
2131,954
2132,4417
2133,1084
2134,1950
2135,1369
2136,278
2137,4048
2138,3620
2139,2292
2140,3062
2141,460
2142,623
2143,4332
2144,4064
2145,4622
2146,3551
2147,2949
2148,215
2149,2252
2150,2038
2151,1261
2152,1260
2153,1969
2154,3817
2155,1934
2156,3306
2157,1935
2158,1368
2159,2778
2160,3950
2161,786
2162,1188
2163,3467
2164,788
2165,20
2166,3223
2167,864
2168,2071
2169,2854
2170,2687
2171,2382
2172,2383
2173,3207
2174,5010
2175,1117
2176,4189
2177,3904
2178,2190
2179,3238
2180,4158
2181,1277
2182,2468
2183,2149
2184,3079
2185,4276
2186,3723
2187,1083
2188,3700
2189,1077
2190,4126
2191,1381
2192,1367
2193,4487
2194,2879
2195,22
2196,74
2197,72
2198,1908
2199,1279
2200,3361
2201,3792
2202,978
2203,2779
2204,5007
2205,4736
2206,4264
2207,1912
2208,1116
2209,1951
2210,3701
2211,2484
2212,3179
2213,2040
2214,3563
2215,3793
2216,32
2217,2342
2218,3120
2219,4149
2220,166
2221,2842
2222,273
2223,3380
2224,3281
2225,4478
2226,3724
2227,4291
2228,2467
2229,1807
2230,3757
2231,4289
2232,3762
2233,2025
2234,3845
2235,981
2236,2962
2237,2515
2238,1971
2239,713
2240,4356
2241,4013
2242,2370
2243,3372
2244,4159
2245,3955
2246,410
2247,4259
2248,3302
2249,279
2250,3060
2251,2363
2252,2295
2253,1581
2254,3191
2255,2165
2256,1380
2257,1906
2258,2041
2259,1453
2260,1189
2261,2711
2262,2275
2263,3784
2264,4362
2265,3717
2266,1451
2267,2013
2268,3873
2269,2096
2270,3746
2271,1872
2272,275
2273,1234
2274,411
2275,1911
2276,2629
2277,1583
2278,2890
2279,2346
2280,2148
2281,1417
2282,3268
2283,2276
2284,3190
2285,2915
2286,2147
2287,625
2288,624
2289,3711
2290,3982
2291,2343
2292,168
2293,1737
2294,543
2295,2253
2296,2284
2297,1278
2298,1118
2299,3381
2300,1389
2301,787
2302,4277
2303,3718
2304,3180
2305,3564
2306,3669
2307,4306
2308,2855
2309,3285
2310,2891
2311,1379
2312,2767
2313,4228
2314,1949
2315,1415
2316,165
2317,3307
2318,4559
2319,3710
2320,4557
2321,4531
2322,4571
2323,4331
2324,4265
2325,1426
2326,4150
2327,3877
2328,4391
2329,2769
2330,4051
2331,2521
2332,1946
2333,3971
2334,2362
2335,3847
2336,3749
2337,3944
2338,2081
2339,4471
2340,1089
2341,572
2342,3241
2343,665
2344,4607
2345,4678
2346,3341
2347,1808
2348,2223
2349,3844
2350,1810
2351,3244
2352,3035
2353,3033
2354,4252
2355,3034
2356,2082
2357,434
2358,432
2359,574
2360,3586
2361,3888
2362,2905
2363,1092
2364,2225
2365,4706
2366,3239
2367,4610
2368,2472
2369,3755
2370,5066
2371,1809
2372,3748
2373,2904
2374,4253
2375,4569
2376,4554
2377,4543
2378,667
2379,4251
2380,2473
2381,3756
2382,573
2383,3887
2384,4378
2385,2603
2386,3871
2387,3051
2388,3261
2389,2030
2390,3004
2391,2561
2392,1805
2393,404
2394,980
2395,4266
2396,1200
2397,3292
2398,142
2399,3297
2400,4034
2401,4393
2402,3864
2403,3975
2404,4443
2405,1414
2406,3865
2407,5000
2408,714
2409,403
2410,3997
2411,2658
2412,1222
2413,3696
2414,1933
2415,1931
2416,3227
2417,3003
2418,3953
2419,3002
2420,2601
2421,2529
2422,2191
2423,982
2424,1224
2425,1223
2426,1201
2427,1804
2428,4202
2429,2774
2430,140
2431,3230
2432,4155
2433,4965
2434,4342
2435,2124
2436,4029
2437,716
2438,2031
2439,3856
2440,2788
2441,5063
2442,295
2443,855
2444,4534
2445,3229
2446,4572
2447,141
2448,4154
2449,4392
2450,3976
2451,2447
2452,4936
2453,2125
2454,2531
2455,1450
2456,2060
2457,1841
2458,3836
2459,4419
2460,4031
2461,2655
2462,2538
2463,723
2464,2094
2465,4058
2466,2309
2467,608
2468,4977
2469,609
2470,722
2471,1842
2472,1843
2473,3400
2474,4205
2475,4227
2476,3993
2477,2093
2478,2549
2479,4021
2480,856
2481,2782
2482,4020
2483,3371
2484,3692
