,pt_no,coordinate
318,pt_no318,"[[-75.60917611386178], [35.3019206432778], [-110.4683187306655]]"
319,pt_no319,"[[-45.81707666399425], [34.23134405717408], [98.69611239651766]]"
320,pt_no320,"[[-35.78555389394456], [34.17649720421883], [102.7928187146112]]"
321,pt_no321,"[[-33.70519285775248], [30.09442821687604], [92.97313080400627]]"
322,pt_no322,"[[-3.043024979291754], [19.71035891923087], [-14.99999999999993]]"
323,pt_no323,"[[3.868599274731213], [15.57220828747788], [-14.99999999999993]]"
324,pt_no324,"[[3.51006057401586], [24.39564548580365], [-14.99999999999993]]"
325,pt_no325,"[[3.536059024599503], [21.14856611271051], [-3.722109020137128]]"
326,pt_no326,"[[-7.151861233239238], [2.50232304559427], [26.59999999999999]]"
327,pt_no327,"[[-3.005538672054241], [7.386628070281464], [26.59999999999999]]"
328,pt_no328,"[[-8.744913309351691], [6.240464549386328], [26.59999999999999]]"
329,pt_no329,"[[-10.08091775876593], [4.960205010185184], [31.6590243124469]]"
330,pt_no330,"[[6.187388001607964], [48.00675659691488], [-21.30180138592758]]"
331,pt_no331,"[[11.68918938753561], [42.17299435430901], [-21.84978779702898]]"
332,pt_no332,"[[5.230418942343505], [41.73995390331277], [-15.79999999999993]]"
333,pt_no333,"[[11.68918938753561], [48.00675659691488], [33.09519052838328]]"
334,pt_no334,"[[2.360895857878141], [48.00675659691488], [35.10401807412965]]"
335,pt_no335,"[[7.51306527667635], [40.19101236140473], [26.59999999999999]]"
