,pt_no,coordinate
346,pt_no346,"[[60.50393216956365], [69.00042179587557], [120.1]]"
347,pt_no347,"[[14.00000000000002], [0.0], [120.1]]"
348,pt_no348,"[[21.3781397483111], [11.37005516804176], [120.1]]"
349,pt_no349,"[[9.931971718210185], [10.10188688212435], [120.1]]"
350,pt_no350,"[[70.0], [0.0], [120.1]]"
351,pt_no351,"[[70.0], [15.79999999999999], [120.1]]"
352,pt_no352,"[[70.0], [79.0], [120.1]]"
353,pt_no353,"[[0.0], [79.0], [120.1]]"
354,pt_no354,"[[0.0], [63.19999999999987], [120.1]]"
355,pt_no355,"[[0.0], [0.0], [120.1]]"
356,pt_no356,"[[70.0], [63.19999999999987], [120.1]]"
357,pt_no357,"[[0.0], [15.79999999999999], [120.1]]"
358,pt_no358,"[[70.0], [47.39999999999991], [120.1]]"
359,pt_no359,"[[57.51966084781825], [56.74779552048867], [120.1]]"
360,pt_no360,"[[41.39277845683974], [25.5798238024848], [120.1]]"
361,pt_no361,"[[35.0207677719408], [67.49966708876764], [120.1]]"
362,pt_no362,"[[41.39492267850704], [53.69674210913172], [120.1]]"
363,pt_no363,"[[0.0], [31.59999999999995], [120.1]]"
364,pt_no364,"[[14.2817188427398], [23.33937924257998], [120.1]]"
365,pt_no365,"[[35.00803486406058], [11.64094770246632], [120.1]]"
366,pt_no366,"[[27.91294472321739], [20.93405787562473], [120.1]]"
367,pt_no367,"[[0.0], [47.39999999999991], [120.1]]"
368,pt_no368,"[[27.50405170413572], [32.74008346255078], [120.1]]"
369,pt_no369,"[[13.5813600160301], [39.68153268317965], [120.1]]"
370,pt_no370,"[[38.96396873577166], [39.7686959149726], [120.1]]"
371,pt_no371,"[[27.46146840255999], [46.79719496325227], [120.1]]"
372,pt_no372,"[[42.00000000000001], [79.0], [120.1]]"
373,pt_no373,"[[28.00000000000002], [0.0], [120.1]]"
374,pt_no374,"[[28.00000000000002], [79.0], [120.1]]"
375,pt_no375,"[[42.00000000000001], [0.0], [120.1]]"
