,pt_no,coordinate
206,pt_no206,"[[0.2], [0.1666666666666667], [0.0]]"
207,pt_no207,"[[0.3], [0.1666666666666667], [0.08333333333333336]]"
208,pt_no208,"[[0.3], [0.1666666666666667], [0.0]]"
209,pt_no209,"[[0.4000000000000001], [0.1666666666666668], [0.08333333333333334]]"
210,pt_no210,"[[0.4000000000000001], [0.1666666666666667], [0.0]]"
211,pt_no211,"[[0.4999999999999998], [0.1666666666666667], [0.08333333333333331]]"
212,pt_no212,"[[0.5000000000000001], [0.2500000000000001], [0.0]]"
213,pt_no213,"[[0.5], [0.1666666666666667], [0.0]]"
214,pt_no214,"[[0.6000000000000001], [0.1666666666666667], [0.08333333333333336]]"
215,pt_no215,"[[0.6000000000000002], [0.2500000000000001], [0.0]]"
216,pt_no216,"[[0.6000000000000001], [0.1666666666666667], [0.0]]"
217,pt_no217,"[[0.7000000000000001], [0.1666666666666667], [0.08333333333333337]]"
218,pt_no218,"[[0.7000000000000002], [0.2500000000000001], [0.0]]"
219,pt_no219,"[[0.7000000000000002], [0.1666666666666667], [0.0]]"
220,pt_no220,"[[0.8000000000000002], [0.1666666666666667], [0.08333333333333331]]"
221,pt_no221,"[[0.8000000000000003], [0.2500000000000001], [0.0]]"
222,pt_no222,"[[0.8000000000000003], [0.1666666666666667], [0.0]]"
223,pt_no223,"[[0.9000000000000004], [0.2500000000000001], [0.0]]"
224,pt_no224,"[[0.9000000000000004], [0.1666666666666667], [0.0]]"
225,pt_no225,"[[1.0], [0.2500000000000001], [0.0]]"
226,pt_no226,"[[1.0], [0.1666666666666667], [0.0]]"
227,pt_no227,"[[0.0], [0.3333333333333334], [0.0]]"
228,pt_no228,"[[0.0], [0.2500000000000001], [0.0]]"
229,pt_no229,"[[0.1], [0.3333333333333334], [0.0]]"
230,pt_no230,"[[0.1], [0.2500000000000001], [0.0]]"
231,pt_no231,"[[0.2], [0.3333333333333333], [0.0]]"
232,pt_no232,"[[0.1], [0.1666666666666668], [0.08333333333333337]]"
233,pt_no233,"[[0.1], [0.1666666666666667], [0.0]]"
234,pt_no234,"[[0.5000000000000001], [0.3333333333333334], [0.0]]"
235,pt_no235,"[[0.6000000000000002], [0.3333333333333334], [0.0]]"
236,pt_no236,"[[0.7000000000000002], [0.3333333333333334], [0.0]]"
237,pt_no237,"[[0.8000000000000003], [0.3333333333333334], [0.0]]"
238,pt_no238,"[[0.9000000000000004], [0.3333333333333334], [0.0]]"
239,pt_no239,"[[1.0], [0.3333333333333334], [0.0]]"
240,pt_no240,"[[0.0], [0.4166666666666669], [0.0]]"
241,pt_no241,"[[0.1], [0.4166666666666669], [0.0]]"
242,pt_no242,"[[0.2], [0.4166666666666668], [0.0]]"
243,pt_no243,"[[0.3000000000000002], [0.4166666666666669], [0.0]]"
244,pt_no244,"[[0.4000000000000001], [0.4166666666666669], [0.0]]"
245,pt_no245,"[[0.0], [0.1666666666666667], [0.08333333333333334]]"
246,pt_no246,"[[0.0], [0.08333333333333334], [0.08333333333333334]]"
247,pt_no247,"[[0.0], [0.1666666666666667], [0.0]]"
248,pt_no248,"[[0.0], [0.08333333333333334], [0.0]]"
249,pt_no249,"[[0.1], [0.08333333333333337], [0.08333333333333337]]"
250,pt_no250,"[[0.1], [0.08333333333333334], [0.0]]"
251,pt_no251,"[[0.0], [0.0], [0.08333333333333334]]"
252,pt_no252,"[[0.0], [0.0], [0.0]]"
253,pt_no253,"[[0.1], [0.0], [0.08333333333333334]]"
254,pt_no254,"[[0.1], [0.0], [0.0]]"
255,pt_no255,"[[0.2], [0.08333333333333331], [0.08333333333333331]]"
256,pt_no256,"[[0.2], [0.0], [0.08333333333333334]]"
257,pt_no257,"[[0.2], [0.08333333333333334], [0.0]]"
258,pt_no258,"[[0.2], [0.0], [0.0]]"
259,pt_no259,"[[0.3000000000000002], [0.08333333333333337], [0.08333333333333337]]"
260,pt_no260,"[[0.3000000000000001], [0.0], [0.08333333333333334]]"
261,pt_no261,"[[0.3000000000000001], [0.08333333333333334], [0.0]]"
262,pt_no262,"[[0.3000000000000001], [0.0], [0.0]]"
263,pt_no263,"[[0.4000000000000001], [0.0833333333333333], [0.08333333333333331]]"
264,pt_no264,"[[0.4000000000000001], [0.0], [0.08333333333333334]]"
265,pt_no265,"[[0.4000000000000001], [0.08333333333333334], [0.0]]"
266,pt_no266,"[[0.4000000000000001], [0.0], [0.0]]"
267,pt_no267,"[[0.5000000000000002], [0.08333333333333331], [0.08333333333333331]]"
268,pt_no268,"[[0.5000000000000001], [0.0], [0.08333333333333334]]"
269,pt_no269,"[[0.5000000000000001], [0.08333333333333334], [0.0]]"
270,pt_no270,"[[0.5000000000000001], [0.0], [0.0]]"
271,pt_no271,"[[0.6000000000000004], [0.08333333333333337], [0.08333333333333337]]"
272,pt_no272,"[[0.6000000000000002], [0.0], [0.08333333333333334]]"
273,pt_no273,"[[0.6000000000000002], [0.08333333333333334], [0.0]]"
274,pt_no274,"[[0.6000000000000002], [0.0], [0.0]]"
275,pt_no275,"[[0.7000000000000001], [0.08333333333333337], [0.08333333333333337]]"
276,pt_no276,"[[0.7000000000000002], [0.0], [0.08333333333333334]]"
277,pt_no277,"[[0.7000000000000002], [0.08333333333333334], [0.0]]"
278,pt_no278,"[[0.7000000000000002], [0.0], [0.0]]"
279,pt_no279,"[[0.8000000000000002], [0.08333333333333331], [0.08333333333333331]]"
280,pt_no280,"[[0.8000000000000003], [0.0], [0.08333333333333334]]"
281,pt_no281,"[[0.8000000000000003], [0.08333333333333334], [0.0]]"
282,pt_no282,"[[0.8000000000000003], [0.0], [0.0]]"
283,pt_no283,"[[0.9000000000000004], [0.08333333333333331], [0.08333333333333331]]"
284,pt_no284,"[[0.9000000000000004], [0.0], [0.08333333333333334]]"
285,pt_no285,"[[0.9000000000000004], [0.08333333333333334], [0.0]]"
286,pt_no286,"[[0.9000000000000004], [0.0], [0.0]]"
