,no,cv_no,region,temp_I,integ_I
210,cv_no210,"[525, 516, 480, 471, 526, 517, 481, 472]",7,49.514700000000005,99.5147
211,cv_no211,"[526, 517, 481, 472, 527, 518, 482, 473]",7,49.514700000000005,99.5147
212,cv_no212,"[527, 518, 482, 473, 528, 519, 483, 474]",7,49.514700000000005,99.5147
213,cv_no213,"[528, 519, 483, 474, 529, 520, 484, 475]",7,49.514700000000005,99.5147
214,cv_no214,"[529, 520, 484, 475, 132, 131, 127, 126]",7,49.514700000000005,99.5147
215,cv_no215,"[281, 272, 506, 497, 282, 273, 507, 498]",7,49.514700000000005,99.5147
216,cv_no216,"[530, 521, 485, 476, 531, 522, 486, 477]",7,49.514700000000005,99.5147
217,cv_no217,"[531, 522, 486, 477, 532, 523, 487, 478]",7,49.514700000000005,99.5147
218,cv_no218,"[532, 523, 487, 478, 533, 524, 488, 479]",7,49.514700000000005,99.5147
219,cv_no219,"[533, 524, 488, 479, 534, 525, 489, 480]",7,49.514700000000005,99.5147
220,cv_no220,"[534, 525, 489, 480, 535, 526, 490, 481]",7,49.514700000000005,99.5147
221,cv_no221,"[535, 526, 490, 481, 536, 527, 491, 482]",7,49.514700000000005,99.5147
222,cv_no222,"[536, 527, 491, 482, 537, 528, 492, 483]",7,49.514700000000005,99.5147
223,cv_no223,"[537, 528, 492, 483, 538, 529, 493, 484]",7,49.514700000000005,99.5147
224,cv_no224,"[538, 529, 493, 484, 133, 132, 128, 127]",7,49.514700000000005,99.5147
225,cv_no225,"[22, 108, 21, 103, 183, 530, 182, 485]",72,0.3438520227628586,0.6910742449850786
226,cv_no226,"[312, 303, 537, 528, 313, 304, 538, 529]",7,49.514700000000005,99.5147
227,cv_no227,"[302, 293, 527, 518, 303, 294, 528, 519]",7,49.514700000000005,99.5147
228,cv_no228,"[303, 294, 528, 519, 304, 295, 529, 520]",7,49.514700000000005,99.5147
229,cv_no229,"[304, 295, 529, 520, 36, 35, 132, 131]",7,49.514700000000005,99.5147
230,cv_no230,"[17, 16, 108, 107, 305, 296, 530, 521]",73,0.34385202276285887,0.6910742449850813
231,cv_no231,"[305, 296, 530, 521, 306, 297, 531, 522]",7,49.514700000000005,99.5147
232,cv_no232,"[306, 297, 531, 522, 307, 298, 532, 523]",7,49.514700000000005,99.5147
233,cv_no233,"[307, 298, 532, 523, 308, 299, 533, 524]",7,49.514700000000005,99.5147
234,cv_no234,"[308, 299, 533, 524, 309, 300, 534, 525]",7,49.514700000000005,99.5147
235,cv_no235,"[309, 300, 534, 525, 310, 301, 535, 526]",7,49.514700000000005,99.5147
236,cv_no236,"[310, 301, 535, 526, 311, 302, 536, 527]",7,49.514700000000005,99.5147
237,cv_no237,"[311, 302, 536, 527, 312, 303, 537, 528]",7,49.514700000000005,99.5147
238,cv_no238,"[301, 292, 526, 517, 302, 293, 527, 518]",7,49.514700000000005,99.5147
239,cv_no239,"[313, 304, 538, 529, 37, 36, 133, 132]",7,49.514700000000005,99.5147
240,cv_no240,"[2, 17, 22, 108, 75, 305, 183, 530]",74,0.3438520227628587,0.6910742449850807
241,cv_no241,"[75, 305, 183, 530, 76, 306, 188, 531]",7,49.514700000000005,99.5147
242,cv_no242,"[76, 306, 188, 531, 77, 307, 193, 532]",7,49.514700000000005,99.5147
243,cv_no243,"[77, 307, 193, 532, 78, 308, 198, 533]",7,49.514700000000005,99.5147
244,cv_no244,"[78, 308, 198, 533, 79, 309, 203, 534]",7,49.514700000000005,99.5147
245,cv_no245,"[79, 309, 203, 534, 80, 310, 208, 535]",7,49.514700000000005,99.5147
246,cv_no246,"[80, 310, 208, 535, 81, 311, 213, 536]",7,49.514700000000005,99.5147
247,cv_no247,"[81, 311, 213, 536, 82, 312, 218, 537]",7,49.514700000000005,99.5147
248,cv_no248,"[82, 312, 218, 537, 83, 313, 223, 538]",7,49.514700000000005,99.5147
249,cv_no249,"[291, 282, 516, 507, 292, 283, 517, 508]",7,49.514700000000005,99.5147
250,cv_no250,"[282, 273, 507, 498, 283, 274, 508, 499]",7,49.514700000000005,99.5147
251,cv_no251,"[283, 274, 508, 499, 284, 275, 509, 500]",7,49.514700000000005,99.5147
252,cv_no252,"[284, 275, 509, 500, 285, 276, 510, 501]",7,49.514700000000005,99.5147
253,cv_no253,"[285, 276, 510, 501, 286, 277, 511, 502]",7,49.514700000000005,99.5147
254,cv_no254,"[286, 277, 511, 502, 34, 33, 130, 129]",7,49.514700000000005,99.5147
255,cv_no255,"[15, 14, 106, 105, 287, 278, 512, 503]",75,0.3438520227628588,0.6910742449850804
256,cv_no256,"[287, 278, 512, 503, 288, 279, 513, 504]",7,49.514700000000005,99.5147
257,cv_no257,"[288, 279, 513, 504, 289, 280, 514, 505]",7,49.514700000000005,99.5147
258,cv_no258,"[289, 280, 514, 505, 290, 281, 515, 506]",7,49.514700000000005,99.5147
259,cv_no259,"[290, 281, 515, 506, 291, 282, 516, 507]",7,49.514700000000005,99.5147
260,cv_no260,"[449, 137, 404, 136, 450, 142, 405, 141]",7,49.514700000000005,99.5147
261,cv_no261,"[292, 283, 517, 508, 293, 284, 518, 509]",7,49.514700000000005,99.5147
262,cv_no262,"[293, 284, 518, 509, 294, 285, 519, 510]",7,49.514700000000005,99.5147
263,cv_no263,"[294, 285, 519, 510, 295, 286, 520, 511]",7,49.514700000000005,99.5147
264,cv_no264,"[295, 286, 520, 511, 35, 34, 131, 130]",7,49.514700000000005,99.5147
265,cv_no265,"[16, 15, 107, 106, 296, 287, 521, 512]",76,0.3438520227628588,0.6910742449850813
266,cv_no266,"[296, 287, 521, 512, 297, 288, 522, 513]",7,49.514700000000005,99.5147
267,cv_no267,"[297, 288, 522, 513, 298, 289, 523, 514]",7,49.514700000000005,99.5147
268,cv_no268,"[298, 289, 523, 514, 299, 290, 524, 515]",7,49.514700000000005,99.5147
269,cv_no269,"[299, 290, 524, 515, 300, 291, 525, 516]",7,49.514700000000005,99.5147
270,cv_no270,"[300, 291, 525, 516, 301, 292, 526, 517]",7,49.514700000000005,99.5147
271,cv_no271,"[479, 470, 434, 425, 480, 471, 435, 426]",7,49.514700000000005,99.5147
272,cv_no272,"[469, 460, 424, 415, 470, 461, 425, 416]",7,49.514700000000005,99.5147
273,cv_no273,"[470, 461, 425, 416, 471, 462, 426, 417]",7,49.514700000000005,99.5147
274,cv_no274,"[471, 462, 426, 417, 472, 463, 427, 418]",7,49.514700000000005,99.5147
275,cv_no275,"[472, 463, 427, 418, 473, 464, 428, 419]",7,49.514700000000005,99.5147
